COD_CURSO,NOME_UNIDADE,NUM_VERSAO,DESCR_ESTRUTURA,COD_DISCIPLINA,NOME_DISCIPLINA,COD_PRE_REQ,NOME_PRE_REQ,TIPO_REQUISITO,NUM_REFERENCIA,ITEM_TABELA,ID_ESTRUTURA_CUR,PERIODO_IDEAL
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CM045,Geometria Analítica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CM005,Álgebra Linear,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI166,Metodologia Científica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI061,REDE DE COMPUTADORES II,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CM202,CALCULO DIFERENCIAL E INTEGRAL II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI056,ALGORITMOS E ESTRUTURAS DE DADOS II,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI166,Metodologia Científica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CM005,Álgebra Linear,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CM045,Geometria Analítica,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI062,TECNICAS ALTERNATIVAS DE PROGRAMACAO,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,4
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI064,SOFTWARE BASICO I,CI055,ALGORITMOS E ESTRUTURAS DE DADOS I,Disciplina,,1,7406,3
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI057,ALGORITMOS E ESTRUTURAS DE DADOS III,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI064,SOFTWARE BASICO I,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI067,OFICINA DE COMPUTACAO,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI068,CIRCUITOS LOGICOS,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI166,Metodologia Científica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI210,PROJETOS DIGITAIS E MICROPROCESSADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI212,ORGANIZACAO E ARQUIT DE COMPUTADORES,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CI237,MATEMATICA DISCRETA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CM005,Álgebra Linear,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CM045,Geometria Analítica,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CM046,INTRODUCAO A ALGEBRA,Disciplina,,1,7406,5
21A,Curso de Ciência da Computação - Bacharelado,2011,Obrigatórias,CI065,ALGORITMOS E TEORIA DOS GRAFOS,CM201,CALCULO DIFERENCIAL E INTEGRAL I,Disciplina,,1,7406,5
